P_1,P_2,P_3,P_4,P_5,P_6,P_7
527.472925141796+0i,528.897214329885+0i,-10+0i,528.467313645464+0i,-5.99719425183379+22.6251639792365i,-5.99719425183379-22.6251639792365i,-0.942809041582063+0i
527.585617252715+0i,529.194975442385+0i,-10+0i,528.580006296266+0i,-5.99719452177542+22.6317357363008i,-5.99719452177542-22.6317357363008i,-0.942809041582063+0i
528.031208090704+0i,529.31092695063+0i,-10+0i,529.025602950009+0i,-5.99719742965237+22.634310798346i,-5.99719742965237-22.634310798346i,-0.942809041582063+0i
528.223565646442+0i,529.402972017711+0i,-10+0i,529.217962867277+0i,-5.9971986104176+22.6363481179927i,-5.9971986104176-22.6363481179927i,-0.942809041582063+0i
528.661777253955+0i,529.615230247613+0i,-10+0i,529.65617983847+0i,-5.99720129225781+22.6410452987381i,-5.99720129225781-22.6410452987381i,-0.942809041582063+0i
529.112493976387+0i,529.779310833316+0i,-10+0i,530.106902254492+0i,-5.99720413905263+22.6446802210415i,-5.99720413905263-22.6446802210415i,-0.942809041582063+0i
529.126124807439+0i,530.294206577599+0i,-10+0i,530.120531496462+0i,-5.99720334451143+22.6560259070833i,-5.99720334451143-22.6560259070833i,-0.942809041582063+0i
529.28275142039+0i,530.457478690621+0i,-10+0i,530.277159719507+0i,-5.99720414955861+22.6596286246361i,-5.99720414955861-22.6596286246361i,-0.942809041582063+0i
529.590693889149+0i,530.592211386098+0i,-10+0i,530.585105993367+0i,-5.997206052109+22.6626084537832i,-5.997206052109-22.6626084537832i,-0.942809041582063+0i
529.970247216526+0i,530.649002178518+0i,-10+0i,530.964664379973+0i,-5.99720858172359+22.6638745238018i,-5.99720858172359-22.6638745238018i,-0.942809041582063+0i
530.25265476679+0i,530.887607771002+0i,-10+0i,531.247075013641+0i,-5.99721012342495+22.6691396821407i,-5.99721012342495-22.6691396821407i,-0.942809041582063+0i
530.720924656953+0i,531.329364940226+0i,-10+0i,531.715349850693+0i,-5.99721259687007+22.6788822094969i,-5.99721259687007-22.6788822094969i,-0.942809041582063+0i
530.929575013486+0i,531.413107817573+0i,-10+0i,531.9240027966+0i,-5.99721389155684+22.6807334723379i,-5.99721389155684-22.6807334723379i,-0.942809041582063+0i
530.950921767961+0i,531.823005639014+0i,-10+0i,531.945348439184+0i,-5.99721333561119+22.6897521269464i,-5.99721333561119-22.6897521269464i,-0.942809041582063+0i
531.137396175192+0i,532.254291567874+0i,-10+0i,532.131823937487+0i,-5.99721388114706+22.6992441584591i,-5.99721388114706-22.6992441584591i,-0.942809041582063+0i
531.162013780092+0i,532.391695432939+0i,-10+0i,532.156441410603+0i,-5.99721381525571+22.7022659912157i,-5.99721381525571-22.7022659912157i,-0.942809041582063+0i
531.678115489968+0i,532.785413948388+0i,-10+0i,532.672548876395+0i,-5.99721669321337+22.7109406295616i,-5.99721669321337-22.7109406295616i,-0.942809041582063+0i
531.75862926633+0i,532.797289936268+0i,-10+0i,532.753063719082+0i,-5.99721722637611+22.7112048681134i,-5.99721722637611-22.7112048681134i,-0.942809041582063+0i
532.220901368394+0i,532.942175942868+0i,-10+0i,533.21534167411+0i,-5.99722015285831+22.7144072289528i,-5.99722015285831-22.7144072289528i,-0.942809041582063+0i
532.638340805102+0i,533.410723013843+0i,-10+0i,533.632785234707+0i,-5.99722221480262+22.7247166620853i,-5.99722221480262-22.7247166620853i,-0.942809041582063+0i
532.751502365949+0i,533.411246098039+0i,-10+0i,533.745948343453+0i,-5.99722298875186+22.7247327211315i,-5.99722298875186-22.7247327211315i,-0.942809041582063+0i
532.870779728233+0i,533.639741461548+0i,-10+0i,533.865226560035+0i,-5.99722341590138+22.7297551976524i,-5.99722341590138-22.7297551976524i,-0.942809041582063+0i
532.946789454124+0i,533.836150597284+0i,-10+0i,533.941236657242+0i,-5.99722360155907+22.7340704422589i,-5.99722360155907-22.7340704422589i,-0.942809041582063+0i
533.36191826728+0i,534.328262550931+0i,-10+0i,534.356369472408+0i,-5.99722560256378+22.7448879575482i,-5.99722560256378-22.7448879575482i,-0.942809041582063+0i
533.395276622496+0i,534.577381447612+0i,-10+0i,534.389727436531+0i,-5.99722540701728+22.750354956745i,-5.99722540701728-22.750354956745i,-0.942809041582063+0i
533.662995038166+0i,534.649788597206+0i,-10+0i,534.657449262367+0i,-5.99722711210036+22.7519541119106i,-5.99722711210036-22.7519541119106i,-0.942809041582063+0i
533.863824912367+0i,534.86522094117+0i,-10+0i,534.858281145317+0i,-5.99722811647475+22.7566873894208i,-5.99722811647475-22.7566873894208i,-0.942809041582063+0i
534.342105313658+0i,535.004224323299+0i,-10+0i,535.336567591768+0i,-5.99723113905518+22.759754948081i,-5.99723113905518-22.759754948081i,-0.942809041582063+0i
534.689207757173+0i,535.469778709405+0i,-10+0i,535.683673180701+0i,-5.99723271176394+22.7699754356169i,-5.99723271176394-22.7699754356169i,-0.942809041582063+0i
534.724081772961+0i,535.519037528896+0i,-10+0i,535.718547503918+0i,-5.9972328654786+22.7710564903015i,-5.9972328654786-22.7710564903015i,-0.942809041582063+0i
534.839502054456+0i,536.026323681873+0i,-10+0i,535.833967638587+0i,-5.99723279206518+22.782176838819i,-5.99723279206518-22.782176838819i,-0.942809041582063+0i
535.053303603533+0i,536.300079365693+0i,-10+0i,536.047771167324+0i,-5.99723378189516+22.7881817396024i,-5.99723378189516-22.7881817396024i,-0.942809041582063+0i
535.081483589051+0i,536.786944173573+0i,-10+0i,536.075949890754+0i,-5.99723315085138+22.7988432109446i,-5.99723315085138-22.7988432109446i,-0.942809041582063+0i
535.193583325498+0i,537.03032433391+0i,-10+0i,536.188050327965+0i,-5.99723350123341+22.8041748707426i,-5.99723350123341-22.8041748707426i,-0.942809041582063+0i
